property_name,square_feet,transaction,status,furnishing,facing,description,price_per_sqft,price_lakhs,floor_number,total_floors,area_name,property_type
2 BHK Apartment for Sale in NavYug College Surat,1650.0,Resale,Ready to Move,Unfurnished,East,"Presenting an exceptional 2 BHK flat for sale, strategically located near NavYug College on Rander Road, Surat. This residence combines modern living with convenience, offering a perfect blend of comfort and accessibility.   Property Specifications   Discover a spacious haven with a carpet area of 1650 sqft on the 7th floor of a 10-story building. The flat is unfurnished, allowing you the freedom to customize your living space according to your style and preferences.   The 2-bedroom layout includes 2 western-style bathrooms, with one attached to the master bedroom and another serving as a common facility. Enjoy the luxury of an attached balcony overlooking the main road, seamlessly connected to the hall. The residence features a separate living and dining area, ensuring privacy and functional space. Additionally, a convenient store room adds to the practicality of the home.   The kitchen is designed for efficiency, equipped with a normal layout, platform, and sink. A piped gas connection is available for your cooking convenience, and a utility area is attached to the kitchen. The entire space is adorned with ceramic tiles, providing a contemporary and easy-to-maintain flooring solution. The property is vaastu compliant, and its east-facing orientation brings in ample natural light.   Facilities   Experience the ease of living with covered parking for your vehicle. Enjoy uninterrupted living with 24-hour water supply sourced from the corporation. The property comes with 100 power backup, ensuring you never face disruptions. Your security is our priority, with a dedicated security guard and CCTV surveillance. The building is equipped with 2 elevators for swift and convenient access to your residence.   Locality   Situated near the Vijay Sales Showroom, this property is surrounded by educational institutions and healthcare facilities within a 1 to 2 km radius. Malls and supermarkets are also conveniently located, offering a range of shopping and entertainment options. Banks and ATMs in close proximity add to the convenience of daily life. For those relying on public transport, the property is well-connected. The railway station is 8 to 9 km away, providing easy access for commuters.Read more",3125.0,50.0,7.0,10.0,Carpet,Area
2 BHK Apartment for Sale in Adajan Surat,847.0,Resale,Ready to Move,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 50.0 Lac(s)Read more",5903.0,50.0,1.0,13.0,Super,Area
3 BHK Apartment for Sale in Dindoli Surat,1511.0,New Property,Poss. by Feb '26,Unfurnished,Unknown,120 ft main road touch  corner project only 3 BHK flats aminitiesbanquet halltemplegardengymnasiumchildren play areagajebo sittingJogging trackbasement parkingRead more,2368.0,35.8,5.0,13.0,Super,Area
2 BHK Apartment for Sale in Bhatar Road Surat,850.0,Resale,Ready to Move,Furnished,Unknown,"Good news for those planning to own a flat in Surat!! Introducing a well-maintained 2 BHK apartment now available for sale on Bhatar Road, Surat. Boasting essential services within a short range, this property is definitely the right choice to lead a hassle-free life with the family. Then, why wait, book this property today!!Property SpecificationsThoughtfully designed, this 2 BHK flat spanning across a carpet area of 850 sqft is levelled on the 4th floor of a 7-storey building. Furnished with wardrobes, beds, AC, lights, and fans, this residence offers a seamless blend of convenience and elegance. Being vaastu compliant is another highlight of this property and the flat faces the southeast direction.Moving to the layout, the flat consists of two bedrooms and 2 western-style bathrooms ( 1 attached, 1 common) equipped with geysers. A balcony attached to one bedroom provides a charming view of the road. Further, the living-cum-dining area, store room, and modular kitchen with a piped gas connection showcase thoughtful design.That is not all, there is a utility area with the kitchen for added convenience and the flooring throughout the flat is adorned with marble.FacilitiesThis property benefits from facilities such as 2 open parking spaces, 24-hour water supply from both borewell and corporation sources, 100% power backup, tight security, CCTV surveillance, and a lift.LocalityLocated near Uma Bhavan, this property is within 1 km of schools, hospitals, and malls/supermarkets, ensuring proximity to essential amenities. Public transport options, including buses and autos, are easily accessible while the railway station is  just 7km away and a metro station is at a convenient 100m distance.Read more",,45.0,4.0,7.0,Carpet,Area
Shop for Sale in Moti Begumwadi Surat,180.0,Resale,Ready to Move,Unknown,Unknown,"4056,Hari om Textile Market, Ring Road, Near Rohit AC Market",14728.0,26.5,3.0,3.0,Carpet,Area
Office Space for Sale in Nanpura Surat,800.0,Resale,Ready to Move,1,Unknown,"Property is suitable for Lawyers, Chartered Accountants and other Back office work.Read more",5250.0,42.0,2.0,6.0,Super,Area
3 BHK Apartment for Sale in Mota Varachha Surat,1000.0,New Property,Ready to Move,Furnished,East,"3bhk fully furnished flat in Mota Varachha n well maintained fully furnished with softa, fan  lightsRead more",3185.0,43.0,3.0,5.0,Carpet,Area
1 BHK Apartment for Sale in Ramnagar Surat,731.0,Resale,Ready to Move,Unfurnished,East,gated security,2736.0,20.0,2.0,5.0,Carpet,Area
Office Space for Sale in Belgium Tower Ring Rode Surat,816.0,Resale,Ready to Move,1,Unknown,Commercial office space is available for sale. It has carpet area 816 sq-ft. Please contact for more details.Read more,4534.0,37.0,3.0,12.0,Carpet,Area
2 BHK Builder Floor for Sale in Amroli Surat,950.0,Resale,Ready to Move,Unfurnished,West,Flat for sale in Amroli Surat. Prime location. Near by Mansarovar Shopping center.Read more,2829.0,29.0,5.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Palan Pur Patiya Surat,1150.0,Unfurnished,1 out of 7,1,Unknown,Multistorey Apartment is located at the advantageous 1st floor in a tower of total 7 floors. It is a relatively new property with construction age less than 5 yrs.Read more,3304.0,38.0,,,Super,Area
1 BHK  House for Sale in Palsana Surat,432.0,New Property,Ready to Move,Unfurnished,West,Corner house,3009.0,13.0,1.0,,Carpet,Area
Shop for Sale in Ghod Dod Road Surat,350.0,Resale,Ready to Move,Unknown,Unknown,"Commercial Shop is available for Sale in Ghod Dod Road, Surat for 45.0 Lac(s)Read more",12857.0,45.0,7.0,,Carpet,Area
3 BHK Apartment for Sale in Jahangirabad Surat,910.0,Resale,Ready to Move,Unfurnished,East,This is 3 bhk fully furnished flat with all furniture and electronic appliances.Read more,2857.0,40.0,1.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Palanpur Surat,650.0,Unfurnished,Ready to Move,East,Unknown,LUXURY NOW AFFORDABLE 2 BHK FLAT.Two Separate Buildings with Only 100 Flats in Campus.Read more,4150.0,46.5,,,Carpet,Area
2 BHK Apartment for Sale in Palanpur Surat,1250.0,New Property,Ready to Move,Unfurnished,Unknown,Project on 150 ft road.good location2 and 3 bhk flats available2 bhk 1250 sq ft3 bhk 1598 sq ftlowest rate in areaRead more,3325.0,41.6,7.0,14.0,Super,Area
3 BHK Villa for Sale in Masma Village Surat,1480.0,Unfurnished,Poss. by Jul '24,East,Unknown,Main road touch underconstruction project.,2264.0,33.5,,,Carpet,Area
2 BHK Apartment for Sale in Shivalik Height Surat,1105.0,Resale,Ready to Move,Unfurnished,Unknown,"Book Your Budgeted 2BHK Flat, Single Tower, Alloted Parking, Easy Payment ScheduleRead more",3842.0,42.5,9.0,14.0,Super,Area
2 BHK Apartment for Sale in Althan Surat,1305.0,New Property,Poss. by Dec '26,Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more",3678.0,48.0,5.0,12.0,Super,Area
2 BHK Apartment for Sale in Palanpur Surat,1290.0,Resale,Ready to Move,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 45.0 Lac(s)Read more",3488.0,45.0,5.0,13.0,Super,Area
2 BHK Apartment for Sale in Bamroli Surat,975.0,New Property,Poss. by Apr '25,Unfurnished,Unknown,2 BHK Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read more,3282.0,32.0,6.0,13.0,Super,Area
2 BHK Apartment for Sale in Jahangirabad Surat,1250.0,New Property,Ready to Move,Unfurnished,East,2 BHK Flat For sell In Jaahngirabad Prime Area With All Aminities.Read more,2800.0,35.0,7.0,14.0,Super,Area
2 BHK Apartment for Sale in Godadara Surat,725.0,New Property,Poss. by Jan '25,Unfurnished,Unknown,2 and 3 bhk luxurious flats at prime locations.,3500.0,46.2,7.0,14.0,Carpet,Area
3 BHK Apartment for Sale in Palanpur Surat,1558.0,Resale,Ready to Move,Unfurnished,Unknown,"2 bhk flat for rent, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as club housecommunity center, and security personnel etc, Other facilities include intercom facility, lift  and park etc.Read more",3017.0,47.0,1.0,5.0,Super,Area
2 BHK Apartment for Sale in Jahangirabad Surat,727.0,New Property,Ready to Move,Unfurnished,East,"4 balconies per flat Basement Parking  Indoor play and function area passage Clubhouse size passage       Area space per floorPlaning As per VastuMultipurpose Sports AreaGazebo seating24x7 security surveillanceSolar Panel inbuilt for low Maintenance life timeMultipurpose Play Court     Cricket, Badminton, basketball,      volleyballLandscape gardenOpen Big Campus Area   party space and many more..Read more",3075.0,38.5,7.0,13.0,Carpet,Area
Plot/Land for Sale in Bhatpore Surat,120.0,Congo,Freehold,2,Unknown,"120 Sq-ft Residential Plot is available for Sale in Bhatpore, Surat for 42.0 Lac(s)Read more",35000.0,42.0,,,Plot,Area
Shop for Sale in Kosamba Surat,425.0,Resale,Ready to Move,Unknown,Unknown,"Commercial Shop is available for Sale in Kosamba, Surat for 20.0 Lac(s)Read more",4706.0,20.0,1.0,2.0,Carpet,Area
Office Space for Sale in Udhna Surat,396.0,Resale,Ready to Move,3,Unknown,"Commercial office space is available for rent. Carpet Area 396 sq-ft, fully furnished with colour, Front partition and Cabin office, Main road touch, Front location, Common parking, Visiters parking, Two Banks and ATM in Complex, Mazanine Floor Office, no lift required, Fully Commercial Complex, Fully Industrial and GIDC Area, BRTS Bus Stop opp complex, 3 km Udhna Railway Station, 2 km ST Bus Station, 6 km Airport.Read more",5808.0,23.0,2.0,10.0,Carpet,Area
Plot/Land for Sale in Narthan Surat,1055.0,Resale,21 X 50.2,2,Unknown,More than 7 international school running in this area green area just 7 kms Dmart jhangripura from this society. Golden opportunity to invest in this area.Read more,2275.0,24.0,,,Plot,Area
1 BHK Apartment for Sale in Jahangirabad Surat,735.0,Resale,Ready to Move,Unfurnished,Unknown,"A Spacious 1bhk road facing brand new flat for sale in a new luxurious high rise apartment. the building has the facilities available like garden, children play area, well designed building reception, 2 automatic auto door lifts etcRead more",3810.0,28.0,12.0,14.0,Super,Area
2 BHK Apartment for Sale in Palanpur Surat,1326.0,Resale,Ready to Move,Unfurnished,East,2 BHK  3 BHK  apartments at palanpur. with all amenities best location for best deal callRead more,3771.0,50.0,9.0,14.0,Super,Area
Office Space for Sale in Vesu Surat,510.0,New Property,Poss. by Dec '25,"1 Covered,",Unknown,"VACANZZA ATLAS, THE DREAM COMMERCIAL PROJECT, is located on a premium vesu canal road opposite GD Goenka School. This is a perfect business center, with shops on ground and upper floor, amenities on 1st floor, offices from 3rd to 12th floor, and a roof top cafeteria. THE DREAM PLACE FOR CORPORATE AND PROFESSIONAL OFFICES, AND FOR CONSULTANTS.Read more",7000.0,35.7,3.0,12.0,Super,Area
2 BHK Apartment for Sale in Jahangirabad Surat,1178.0,Resale,Ready to Move,Unfurnished,East,"Near new dmart. Decent for leaving,  regular water supply, the perfect home for familynear new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmartRead more",3099.0,36.5,10.0,14.0,Super,Area
3 BHK Apartment for Sale in Jahangir Pura Surat,1900.0,Resale,Ready to Move,Unfurnished,Unknown,3 BHK Levish Flat For Sell With All Aminities.Contact For More Details.Read more,2632.0,50.0,7.0,14.0,Super,Area
3 BHK Apartment for Sale in Jahangirabad Surat,80.0,Resale,Ready to Move,Unfurnished,East,"Experience the grandeur of luxurious living in this expansive 3 BHK flat located in the heart of Jahangirabad, Surat. With the advantage of freehold ownership, a construction age of less than 5 years, and offering an exceptional investment opportunity, this property stands as a testament to unmatched sophistication and value.Property Specifications Step into a world of comfort and convenience with this exquisite property boasting a carpet area of 80 sqm. Situated on the 2nd floor of an east-facing building, this ready-to-move-in gem is flooded with natural sunlight and ventilation, creating a refreshing ambience throughout.As you enter, you're greeted by an expansive living area with vitrified tile flooring that adds a touch of elegance to the space. The property features three bedrooms, each designed for optimal comfort and privacy, along with three bathrooms offering modern fixtures and fittings.One of the highlights of this property is its wide and airy balcony, perfect for relaxing evenings or morning coffees with a view. The well-equipped kitchen is a culinary enthusiast's dream, featuring ample storage space and functionality.Facilities In terms of facilities, you'll find an open parking space for one vehicle, ensuring convenience for residents. Water availability is round-the-clock, and the property experiences rare power cuts, ensuring uninterrupted daily life. Additionally, there's a lift available for easy access to the second floor.Locality Jahangirabad in Surat is a vibrant locality known for its blend of urban conveniences and peaceful surroundings. Situated strategically, it offers easy access to key amenities and attractions, making it a sought-after residential destination. This area boasts a well-developed infrastructure with a range of schools, hospitals, and supermarkets within close proximity, catering to the daily needs of residents. Public transport options are readily available, ensuring seamless connectivity to other parts of the city.For those who enjoy leisure and recreation, Jahangirabad offers parks and recreational facilities, providing ample opportunities for relaxation and outdoor activities. The presence of commercial establishments and markets adds to the convenience, making it a self-sufficient locality.Read more",,36.0,2.0,12.0,Carpet,Area
3 BHK Apartment for Sale in Palanpur Surat,1600.0,Resale,Ready to Move,Unfurnished,Unknown,"3 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 43.58 Lac(s)Read more",2724.0,43.6,3.0,12.0,Super,Area
Shop for Sale in Rajhnsh platinum plaza Surat,445.0,Resale,Ready to Move,2 Covered,Unknown,"Commercial Shop is available for Sale in , Surat for 25.0 Lac(s)Read more",5618.0,25.0,1.0,4.0,Super,Area
2 BHK Apartment for Sale in Bamroli Surat,680.0,New Property,Poss. by Jan '26,Unfurnished,East,"2 bhk available for salewith morden aminitis like garden, gym,pool, temple, tracking,prime locationmain road center of surateverything is near by contact us for more details.Read more",3747.0,46.5,6.0,14.0,Carpet,Area
2 BHK Apartment for Sale in Jahangirabad Surat,721.0,Resale,Ready to Move,Semi-Furnished,East,Near upcoming metro station. Also near to city bus stop and hospitalRead more,2936.0,32.0,3.0,5.0,Carpet,Area
Office Space for Sale in Nanpura Surat,400.0,Resale,Ready to Move,1 Covered,Unknown,this is a river facing office   furnished office  suitable for c.a  advocate or personal office for any business men.Read more,5578.0,41.0,2.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Swagat Home Surat,545.0,Resale,Poss. by Dec '24,Unfurnished,East,Swagat Home,3451.0,33.5,13.0,14.0,Carpet,Area
1 BHK Apartment for Sale in Palanpur Surat,813.0,New Property,Poss. by Aug '25,Unfurnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,3507.0,28.5,4.0,14.0,Super,Area
1 BHK Apartment for Sale in Palanpur Surat,990.0,New Property,Poss. by Jul '24,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 28.0 Lac(s)Read more",2828.0,28.0,5.0,13.0,Super,Area
1 BHK Apartment for Sale in Jahangir Pura Surat,500.0,Resale,Ready to Move,Furnished,East,new bulding with good farnichar middal floor,3636.0,28.0,5.0,12.0,Carpet,Area
2 BHK  House for Sale in Nansad Surat,42.0,Resale,Ready to Move,Unfurnished,East,"House at Block No. 81171, Plot No. 71, Vraj Nandini Residency Vibhag 2,  Vill. Nansad, Taluka Kamrej, Dist. SuratRead more",1951.0,9.0,1.0,,Carpet,Area
2 BHK Apartment for Sale in Adajan Surat,970.0,Resale,Ready to Move,Semi-Furnished,East,3bhk Fully FURNISHED,3093.0,30.0,6.0,10.0,Super,Area
2 BHK Apartment for Sale in Jahangir Pura Surat,1180.0,Resale,Ready to Move,Unfurnished,Unknown,"Discover a cozy haven nestled in the vibrant neighborhood of Jahangir Pura, Surat. This 2 BHK flat for sale offers a perfect blend of comfort and convenience, ideal for those seeking a modern urban lifestyle. With its thoughtful design and prime location, this property promises a serene living experience in the heart of the city.Property SpecificationsSpanning a super area of 1180 sqft, this 2 BHK flat resides on the fifth floor of a well-maintained 5-storey building, offering a serene retreat away from the city's hustle and bustle.Upon entering, you are greeted by an airy living cum dining area, providing ample space for relaxation and entertainment. The unfurnished interiors allow for personalized touches to make this space truly your own. Adjoining the living area is a balcony that offers a picturesque view of the surrounding buildings, perfect for enjoying your morning coffee or unwinding after a long day.This flat boasts two bedrooms, each designed to provide comfort and privacy. Also, there are two western-style bathrooms, one of which is attached to a bedroom, while a common bathroom serves the needs of guests and residents alike.The heart of this home is its well-equipped kitchen, complete with a piped gas connection and a utility area for added convenience. The flooring throughout the flat is adorned with sleek vitrified tiles, enhancing the overall aesthetic appeal while ensuring easy maintenance.FacilitiesResidents will enjoy a host of amenities designed to elevate their living experience. Covered parking ensures the safety of your vehicle, while round-the-clock water supply and security guard services offer peace of mind. CCTV surveillance and a dedicated lift further enhance the safety and convenience of this residence.LocalityJahangir Pura, Surat, is a bustling residential locality known for its vibrant atmosphere and convenient amenities. The area is well-connected to the city center and other key areas, making it an ideal choice for those seeking a blend of urban convenience and suburban tranquility. With its proximity to schools, colleges, hospitals, shopping centers, and recreational facilities, Jahangir Pura provides a comfortable and convenient lifestyle for its residents.Read more",2712.0,32.0,5.0,5.0,Super,Area
2 BHK Apartment for Sale in Palanpur Surat,750.0,Resale,Ready to Move,Unfurnished,East,"2 BHK Exclusive Wind Direction Flat For Sale Nr. Raj World Palanpur.Road Side View, Garden View, Wind Direction, East Facing, South West Open Flat. For Sale.Read more",3304.0,38.0,3.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Shardhaa Surat,1100.0,Resale,Ready to Move,Furnished,East,"Multistorey apartment is available for sale. Nice campus location, CCTV allow, garden space allow.Read more",,40.0,2.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Adajan Surat,1000.0,Resale,Ready to Move,Furnished,East,short distance from surat station,3951.0,39.5,2.0,4.0,Super,Area
1 BHK Apartment for Sale in Bhesan Road Surat,813.0,New Property,Poss. by Feb '25,Unfurnished,East,Ugat bhesan road surat near metro stationAnd near garden vegetable market good locationRead more,3567.0,29.0,7.0,14.0,Super,Area
1 BHK Apartment for Sale in Katar Gam Surat,550.0,Resale,Ready to Move,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Katar Gam, Surat for 20.0 Lac(s)Read more",3636.0,20.0,5.0,5.0,Super,Area
1 BHK Apartment for Sale in Bhatar Surat,800.0,Resale,Ready to Move,Furnished,Unknown,road facing,3750.0,30.0,1.0,4.0,Super,Area
Office Space for Sale in Katar Gam Surat,280.0,Resale,Ready to Move,Unknown,Unknown,"Commercial Office Space is available for Sale in Katar Gam, Surat for 36.0 Lac(s)Read more",12857.0,36.0,1.0,4.0,Super,Area
1 BHK Apartment for Sale in Adajan Surat,450.0,Resale,Ready to Move,Unfurnished,Unknown,"1 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 21.50 Lac(s)Read more",3909.0,21.5,1.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Adajan Surat,1250.0,Resale,Ready to Move,Furnished,Unknown,"Fully furnished ready to move in HOUSE . With Ac , washing machineRead more",3600.0,45.0,2.0,4.0,Super,Area
2 BHK Builder Floor for Sale in Varachha Surat,800.0,Resale,Ready to Move,Unfurnished,Unknown,"2 BHK, Builder Floor Apartment is available for Sale in Varachha, Surat for 10.50 Lac(s)Read more",1312.0,10.5,3.0,4.0,Super,Area
2 BHK Builder Floor for Sale in Nana Varachha Surat,1267.0,Resale,Ready to Move,Furnished,Unknown,"2 BHK, Builder Floor Apartment is available for Sale in Nana Varachha, Surat for 50.0 Lac(s)Read more",3946.0,50.0,2.0,4.0,Super,Area
2 BHK Apartment for Sale in Adajan Surat,1200.0,Furnished,3 out of 10,Freehold,Unknown,"2 BHK multistorey apartment is available for sale with kitchen, dining table, double bed, wardrobe, computer table etc. 24 Hours electricity with power generator, security and well maintained building. Please contact for more details.Read more",3333.0,40.0,,,Super,Area
1 BHK  House for Sale in Kadodara Surat,600.0,Unfurnished,Ready to Move,East,Unknown,good,3000.0,18.0,,,Carpet,Area
2 BHK Apartment for Sale in Citylight Area Surat,750.0,Resale,Ready to Move,Unfurnished,Unknown,"This spacious Home is on floor 7 of 10 and is built up in 900 Sq-ft. It is a well-designed spacious Home situated in Citylight Area. Offering 2 bedroom and 2 spacious bathrooms, the Home is Unfurnished. 37 Lac is the expected price of Home. Read more",4111.0,37.0,7.0,10.0,Carpet,Area
1 BHK  House for Sale in Sayan Surat,432.0,New Property,Ready to Move,Unfurnished,East,"1 BHK, Residential House is available for Sale in Sayan, Surat for 10.0 Lac(s)Read more",2315.0,10.0,1.0,,Carpet,Area
3 BHK Apartment for Sale in Jahangirabad Surat,1600.0,Resale,Ready to Move,Unfurnished,Unknown,"3 BHK, Multistorey Apartment is available for Sale in Jahangirabad, Surat for 30.0 Lac(s)Read more",1875.0,30.0,9.0,13.0,Super,Area
1 BHK Apartment for Sale in Katargam Surat,450.0,Resale,Ready to Move,Unfurnished,Unknown,"1 BHK, Multistorey Apartment is available for Sale in Katargam, Surat for 18.0 Lac(s)Read more",,18.0,5.0,5.0,Carpet,Area
1 BHK Apartment for Sale in Palanpur Surat,441.0,Resale,Ready to Move,Unfurnished,South,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 23.51 Lac(s)Read more",3509.0,23.5,3.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Aarav Apartment Surat,850.0,Resale,Ready to Move,Semi-Furnished,Unknown,"very close of evey useful need like hospital railway station, bus station, sabji marketRead more",2941.0,25.0,3.0,4.0,Super,Area
Office Space for Sale in Shahpore Surat,70.0,Resale,Ready to Move,1,Unknown,"Commercial office space is available for sale. It covered area of 70 sq-m, it is a good location property. Please contact formore details.Read more",3320.0,25.0,5.0,,Super,Area
2 BHK Apartment for Sale in Vatsalya Avenue Surat,1230.0,Resale,Ready to Move,Semi-Furnished,East,"Specious flat with full sunlight from all side. 24x7 SMC water,3 lift, wide coridorRead more",,30.0,9.0,13.0,Carpet,Area
Office Space for Sale in Vijayalaxmi Hills Surat,460.0,Resale,Ready to Move,1,Unknown,"Perfect  office place in the centre of Adajan Gam. Building located 70 meters from Surat Hazira Road. Silent Location. Ample parking place for owners as well as visitor. Ideal office for Lawyer, consultant, Doctor, Travel Agency, etc.Read more",6803.0,40.0,3.0,10.0,Carpet,Area
Office Space for Sale in Mahalaxmi Market udhna Surat,393.0,Resale,Ready to Move,1,Unknown,"Commercial Office Space is available for Sale in , Surat for 20.0 Lac(s)Read more",5089.0,20.0,1.0,3.0,Super,Area
2 BHK Apartment for Sale in Kamrej Road Surat,783.0,Resale,Ready to Move,Unfurnished,Unknown,"Multistorey apartment is available for sale. It has carpet area 783 sq-ft, it is 2 BHK apartment. Please contact for more details.Read more",,50.0,5.0,5.0,Carpet,Area
1 BHK Apartment for Sale in Ram Pura Surat,605.0,Resale,Ready to Move,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Ram Pura, Surat for 16.25 Lac(s)Read more",2686.0,16.3,2.0,5.0,Carpet,Area
2 BHK Apartment for Sale in Varachha Surat,1300.0,Resale,Ready to Move,Furnished,Unknown,"2 BHK, Multistorey Apartment is available for Sale in Varachha, Surat for 45.0 Lac(s)Read more",3462.0,45.0,4.0,4.0,Super,Area
4 BHK Penthouse for Sale in Mandvi Surat,1300.0,Resale,Ready to Move,Furnished,Unknown,"4 BHK, Penthouse is available for Sale in Mandvi, Surat for 45.0 Lac(s)Read more",,45.0,2.0,,Carpet,Area
Shop for Sale in Surat City Surat,100.0,Resale,Ready to Move,Unknown,Unknown,"Commercial Shop is available for Sale in Surat City, Surat for 20.0 Lac(s)Read more",20000.0,20.0,2.0,,Super,Area
Shop for Sale in Dindoli Surat,150.0,Resale,Ready to Move,Unknown,Unknown,"Main road touch, running shop, ideal for retail business.",9000.0,13.5,1.0,,Carpet,Area
Shop for Sale in Pipodara Surat,430.0,Resale,Ready to Move,Unknown,Unknown,"Commercial Shop is available for Sale in Pipodara, Surat for 45.0 Lac(s)Read more",10465.0,45.0,4.0,,Carpet,Area
4 BHK Apartment for Sale in Bhatar Surat,1370.0,Resale,Ready to Move,Unfurnished,Unknown,Its a 3rd floor Multistorey Apartment in a building of total 4 floors. The Multistorey Apartment construction is more than 10 to 15 years old.Read more,3212.0,44.0,3.0,4.0,Super,Area
Plot/Land for Sale in Bhestan Surat,1040.0,Unknown,Resale,Unknown,Unknown,"1040 Sq-ft Residential Plot is available for Sale in Bhestan, Surat for 49.0 Lac(s)Read more",4712.0,49.0,,,Plot,Area
Shop for Sale in Surat,145.0,Resale,Ready to Move,Unknown,Unknown,Commercial shop is available for sale.,7500.0,21.0,5.0,,Carpet,Area
